order_id,merchant_id,customer_name,device_fingerprint,upi_vpa,delivery_lat,delivery_lon,order_amount_inr,order_date,dispute_filed,dispute_reason
ORD-08380badf6,M_TrendMart,Yochana Din,dfp_5de926ae9975cace186b,ochand@oksbi,17.445054,78.34465,23660.42,2026-03-17T00:00:00,False,item_not_as_described
ORD-1824d6528a,M_FashionNest,Hredhaan Dass,dfp_58ef336b9a7f938057de,ukaul@okhdfcbank,19.119738,72.851506,5661.39,2026-02-01T00:00:00,False,
ORD-71b7d4ff23,M_FashionNest,Oni Yohannan,dfp_1d1c3bbd969cdc9892f4,vinayakanda@paytm,12.927243,77.636652,42881.63,2026-03-18T00:00:00,False,
ORD-f40d86fff1,M_GadgetKart,Ojas Suri,dfp_ddffd5d023ae69da3eb4,logan25@ybl,12.924411,77.618845,19006.4,2026-02-22T00:00:00,False,item_not_as_described
ORD-8ef40de0ae,M_GadgetKart,Ayush Banerjee,dfp_e47754a77591dd8adb71,eshana77@ybl,17.446431,78.328155,14757.37,2026-03-22T00:00:00,False,
ORD-58a5fbe673,M_TrendMart,Abdul Chhabra,dfp_a48a2d032dde499da86b,lkanda@ybl,17.431887,78.363933,22784.78,2026-01-11T00:00:00,False,item_not_as_described
ORD-ad7c08edc1,M_TrendMart,Warhi Gandhi,dfp_699ee1d65b0d065b70bf,swamyekani@okhdfcbank,28.598808,77.043374,27932.03,2026-04-29T00:00:00,False,item_not_as_described
ORD-070b031f7e,M_TrendMart,Yatin Yohannan,dfp_662bedec3cb78e127885,priya96@okhdfcbank,13.004744,80.266725,27762.64,2026-07-16T00:00:00,False,
ORD-0ee1e30a68,M_ElectroHub,Shravya Shankar,dfp_820d212aa4e6feb083f4,wishiagrawal@okhdfcbank,13.008398,80.24925,39535.68,2026-02-14T00:00:00,False,item_not_as_described
ORD-13cf07b095,M_GadgetKart,Baghyawati Mishra,dfp_d5225cc605c8c7742755,gopalbawa@paytm,19.125799,72.847274,24589.59,2026-01-02T00:00:00,False,
ORD-d74faf3823,M_TrendMart,Maanas Sheth,dfp_6827e32726cb71dd0218,sacharomaja@okhdfcbank,28.588689,77.037774,40739.49,2026-06-20T00:00:00,False,item_not_as_described
ORD-20ed8ae618,M_TrendMart,Karan Chana,dfp_b09a024c90a064dad0da,eta62@oksbi,13.011851,80.239886,44100.76,2026-07-12T00:00:00,False,
ORD-722a8d5b9e,M_TrendMart,Yug Bumb,dfp_da273bf5b3fafeae7f84,twable@paytm,17.417202,78.371668,40015.66,2026-05-04T00:00:00,False,item_not_as_described
